School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
PS 120 CARLOS TAPIA,NYC DOE,KINGS,347,100.0%,100.0%,0,0,74.9%,91.4%,260,317,87,30,6.0%,20.1%,72.1%,0.6%,0.3%,0.9%
PS 121,NYC DOE,QUEENS,774,96.0%,99.7%,31,2,8.0%,76.6%,62,593,681,179,1.7%,13.7%,12.9%,52.7%,17.2%,1.8%
PS 121 NELSON A ROCKEFELLER,NYC DOE,KINGS,315,100.0%,89.2%,0,34,14.6%,89.2%,46,281,269,0,31.9%,5.4%,40.3%,21.1%,0.6%,0.6%
PS 121 THROOP,NYC DOE,BRONX,699,86.4%,58.2%,95,292,70.7%,58.2%,494,407,110,0,5.7%,47.6%,36.3%,9.3%,0.7%,0.3%
PS 122 MAMIE FAY,NYC DOE,QUEENS,1262,97.9%,98.8%,27,15,9.1%,46.8%,115,591,1120,656,46.7%,3.3%,17.0%,27.9%,0.3%,4.7%
PS 123,NYC DOE,QUEENS,593,76.7%,77.1%,138,136,49.7%,22.3%,295,132,160,325,3.1%,56.2%,20.3%,10.1%,9.7%,0.5%
PS 123 MAHALIA JACKSON,NYC DOE,NEW YORK,418,100.0%,100.0%,0,0,47.8%,47.8%,200,200,218,218,3.4%,48.8%,42.7%,1.5%,2.0%,1.7%
PS 123 SUYDAM,NYC DOE,KINGS,526,73.6%,78.5%,139,113,56.1%,66.7%,295,351,92,62,1.5%,3.0%,90.0%,4.9%,0.6%,0.0%
PS 124 OSMOND A CHURCH,NYC DOE,QUEENS,1083,95.4%,76.6%,50,253,0.0%,69.3%,0,751,1033,79,4.3%,17.5%,17.7%,48.2%,10.9%,1.4%
PS 124 SILAS B DUTCHER,NYC DOE,KINGS,274,80.3%,89.8%,54,28,29.9%,50.4%,82,138,138,108,20.5%,6.1%,57.8%,11.0%,0.4%,4.2%
PS 124 YUNG WING,NYC DOE,NEW YORK,652,100.0%,99.8%,0,1,20.4%,33.9%,133,221,519,430,1.5%,0.2%,1.7%,92.2%,0.0%,4.5%
PS 125 RALPH BUNCHE,NYC DOE,NEW YORK,294,84.0%,74.8%,47,74,60.2%,46.3%,177,136,70,84,19.5%,33.1%,36.9%,5.1%,1.0%,4.4%
PS 126 DR MARJORIE H DUNBAR,NYC DOE,BRONX,549,66.8%,86.5%,182,74,66.8%,66.8%,367,367,0,108,1.9%,21.2%,76.7%,0.2%,0.0%,0.0%
PS 126 JACOB AUGUST RIIS,NYC DOE,NEW YORK,677,96.8%,95.9%,22,28,70.9%,70.5%,480,477,175,172,5.8%,8.9%,16.9%,64.8%,0.0%,3.6%
PS 127 AEROSPACE SCIENCE MAGNET,NYC DOE,QUEENS,1110,80.5%,80.5%,217,217,36.9%,36.9%,410,410,483,483,2.6%,9.9%,74.4%,12.6%,0.4%,0.3%
PS 127 MCKINLEY PARK,NYC DOE,KINGS,521,83.5%,83.5%,86,86,35.9%,35.9%,187,187,248,248,33.7%,0.8%,22.9%,41.1%,0.4%,1.1%
PS 128 AUDUBON,NYC DOE,NEW YORK,563,97.7%,86.5%,13,76,6.6%,56.8%,37,320,513,167,4.7%,3.5%,89.6%,1.0%,0.5%,0.7%
PS 128 BENSONHURST,NYC DOE,KINGS,424,85.6%,77.4%,61,96,19.3%,77.4%,82,328,281,0,44.9%,0.9%,24.7%,28.2%,0.9%,0.2%
PS 128 LORRAINE TUZZO-JUNIPER VALLEY,NYC DOE,QUEENS,837,100.0%,99.9%,0,1,1.6%,77.9%,13,652,824,184,73.3%,0.8%,19.5%,4.9%,0.4%,1.1%
PS 129 JOHN H FINLEY,NYC DOE,NEW YORK,306,99.7%,88.2%,1,36,68.3%,70.3%,209,215,96,55,2.2%,48.2%,45.4%,1.9%,1.3%,1.0%
PS 129 PATRICIA LARKIN,NYC DOE,QUEENS,1067,100.0%,98.7%,0,14,0.0%,63.8%,0,681,1067,372,10.0%,1.1%,53.8%,33.6%,0.8%,0.7%
PS 13 CLEMENT C MOORE,NYC DOE,QUEENS,1250,96.5%,99.1%,44,11,13.1%,99.1%,164,1239,1042,0,4.6%,8.1%,56.2%,29.5%,0.9%,0.7%
PS 13 M L LINDEMEYER,NYC DOE,RICHMOND,827,98.1%,81.1%,16,156,31.0%,61.1%,256,505,555,166,18.2%,11.7%,45.4%,21.3%,0.5%,2.9%
PS 13 ROBERTO CLEMENTE,NYC DOE,KINGS,396,79.0%,92.2%,83,31,0.0%,92.2%,0,365,313,0,3.1%,66.7%,24.7%,3.8%,1.8%,0.0%
PS 130,NYC DOE,QUEENS,401,100.0%,99.8%,0,1,11.2%,43.1%,45,173,356,227,17.3%,2.0%,18.3%,57.8%,0.5%,4.0%
PS 130 ABRAM STEVENS HEWITT,NYC DOE,BRONX,360,83.6%,99.7%,59,1,74.7%,99.7%,269,359,32,0,2.0%,20.1%,76.8%,0.6%,0.3%,0.3%
PS 130 HERNANDO DE SOTO,NYC DOE,NEW YORK,749,100.0%,100.0%,0,0,27.1%,27.1%,203,203,546,546,2.9%,0.7%,5.4%,86.5%,0.1%,4.4%
PS 130 PARKSIDE (THE),NYC DOE,KINGS,855,99.8%,98.6%,2,12,28.8%,41.3%,246,353,607,490,53.9%,5.9%,20.6%,15.0%,1.0%,3.6%
PS 131,NYC DOE,KINGS,745,98.5%,98.5%,11,11,86.3%,98.5%,643,734,91,0,8.3%,1.1%,53.0%,36.4%,1.2%,0.0%
PS 131 ABIGAIL ADAMS,NYC DOE,QUEENS,684,97.2%,77.3%,19,155,8.5%,36.8%,58,252,607,277,6.4%,3.4%,12.7%,74.8%,2.2%,0.6%
PS 132 CONSELYEA SCHOOL (THE),NYC DOE,KINGS,685,100.0%,98.0%,0,14,60.1%,60.1%,412,412,273,259,45.5%,12.3%,30.7%,8.3%,0.6%,2.6%
PS 132 GARRETT A MORGAN,NYC DOE,BRONX,359,89.7%,89.7%,37,37,0.0%,89.7%,0,322,322,0,0.3%,47.3%,50.9%,0.3%,0.9%,0.3%
PS 132 JUAN PABLO DUARTE,NYC DOE,NEW YORK,186,100.0%,100.0%,0,0,28.5%,100.0%,53,186,133,0,1.6%,3.3%,94.6%,0.0%,0.0%,0.5%
PS 132 RALPH BUNCHE,NYC DOE,QUEENS,326,5.8%,90.2%,307,32,5.8%,5.8%,19,19,0,275,0.9%,89.2%,7.1%,1.5%,1.2%,0.0%
PS 133,NYC DOE,QUEENS,598,25.8%,25.8%,444,444,25.8%,25.8%,154,154,0,0,10.2%,5.8%,14.7%,65.1%,1.5%,2.7%
PS 133 FRED R MOORE,NYC DOE,NEW YORK,210,96.7%,99.5%,7,1,96.7%,83.3%,203,175,0,34,1.4%,46.4%,44.4%,4.8%,1.9%,1.0%
PS 133 WILLIAM A BUTLER,NYC DOE,KINGS,666,100.0%,90.4%,0,64,4.7%,38.1%,31,254,635,348,27.8%,25.0%,36.2%,3.8%,0.3%,6.9%
PS 134,NYC DOE,KINGS,571,97.5%,86.5%,14,77,0.0%,57.6%,0,329,557,165,41.0%,3.1%,8.2%,45.8%,1.2%,0.7%
PS 134 GEORGE F BRISTOW,NYC DOE,BRONX,507,58.2%,78.1%,212,111,58.2%,72.2%,295,366,0,30,2.0%,40.9%,53.6%,1.0%,0.8%,1.6%
PS 134 HENRIETTA SZOLD,NYC DOE,NEW YORK,217,94.0%,93.1%,13,15,79.7%,77.9%,173,169,31,33,1.4%,26.7%,59.5%,10.0%,1.0%,1.4%
PS 134 HOLLIS,NYC DOE,QUEENS,288,90.6%,84.7%,27,44,56.3%,56.3%,162,162,99,82,0.7%,62.2%,18.6%,15.8%,2.4%,0.3%
PS 135 SHELDON A BROOKNER,NYC DOE,KINGS,414,0.0%,79.0%,414,87,0.0%,56.0%,0,232,0,95,9.4%,77.9%,9.1%,2.2%,0.7%,0.7%
PS 136 ROY WILKINS,NYC DOE,QUEENS,488,65.2%,61.1%,170,190,37.3%,37.3%,182,182,136,116,2.3%,82.6%,9.5%,3.3%,1.0%,1.2%
PS 138,NYC DOE,NEW YORK,660,90.5%,79.1%,63,138,19.2%,55.5%,127,366,470,156,6.0%,29.5%,60.6%,2.8%,0.5%,0.7%
PS 138,NYC DOE,KINGS,489,87.1%,86.3%,63,67,0.0%,86.3%,0,422,426,0,4.1%,81.4%,10.6%,1.8%,0.8%,1.2%
PS 138 SAMUEL RANDALL,NYC DOE,BRONX,581,70.4%,76.8%,172,135,45.3%,69.0%,263,401,146,45,0.7%,26.6%,68.4%,2.1%,2.1%,0.2%
PS 139 ALEXINE A FENTY,NYC DOE,KINGS,837,90.2%,83.4%,82,139,64.4%,64.4%,539,539,216,159,13.7%,21.5%,41.9%,17.2%,1.2%,4.5%
PS 139 REGO PARK,NYC DOE,QUEENS,639,84.5%,76.5%,99,150,63.4%,47.9%,405,306,135,183,39.6%,1.8%,27.6%,27.1%,0.5%,3.4%
PS 14 FAIRVIEW,NYC DOE,QUEENS,1290,87.4%,90.7%,162,120,45.0%,69.1%,580,891,548,279,2.1%,1.2%,91.5%,4.4%,0.4%,0.4%
PS 14 SENATOR JOHN CALANDRA,NYC DOE,BRONX,580,100.0%,83.8%,0,94,25.9%,43.8%,150,254,430,232,20.8%,5.9%,64.2%,7.4%,0.7%,1.0%
PS 140,NYC DOE,KINGS,345,76.5%,76.5%,81,81,76.5%,76.5%,264,264,0,0,3.2%,62.2%,29.0%,2.9%,1.5%,1.2%
PS 140 EAGLE SCHOOL (THE),NYC DOE,BRONX,480,100.0%,99.8%,0,1,65.8%,83.1%,316,399,164,80,2.1%,33.3%,63.4%,0.2%,0.6%,0.4%
PS 140 EDWARD K ELLINGTON,NYC DOE,QUEENS,393,100.0%,100.0%,0,0,56.0%,56.0%,220,220,173,173,2.5%,62.3%,22.6%,9.5%,2.0%,1.0%
PS 140 NATHAN STRAUS,NYC DOE,NEW YORK,358,92.7%,11.2%,26,318,56.7%,7.3%,203,26,129,14,3.4%,21.6%,72.8%,2.0%,0.3%,0.0%
PS 141,NYC DOE,KINGS,384,93.5%,83.1%,25,65,93.5%,83.1%,359,319,0,0,21.2%,41.2%,31.5%,5.0%,0.3%,0.8%
PS 142 AMALIA CASTRO,NYC DOE,NEW YORK,317,100.0%,96.8%,0,10,100.0%,81.1%,317,257,0,50,2.2%,18.0%,76.3%,0.3%,1.6%,1.6%
PS 143 LOUIS ARMSTRONG,NYC DOE,QUEENS,1281,92.1%,69.3%,101,393,0.0%,69.3%,0,888,1180,0,1.2%,1.5%,94.6%,2.3%,0.5%,0.0%
PS 144 COL JEROMUS REMSEN,NYC DOE,QUEENS,888,99.3%,40.1%,6,532,0.0%,22.7%,0,202,882,154,34.0%,1.8%,17.9%,37.2%,0.1%,9.0%
PS 145 ANDREW JACKSON,NYC DOE,KINGS,474,97.3%,82.3%,13,84,59.3%,59.3%,281,281,180,109,2.3%,6.5%,89.5%,0.6%,0.4%,0.6%
PS 145 BLOOMINGDALE SCHOOL (THE),NYC DOE,NEW YORK,397,97.0%,92.4%,12,30,50.6%,50.9%,201,202,184,165,25.1%,24.6%,46.8%,1.5%,0.0%,2.0%
PS 146 ANN M SHORT,NYC DOE,NEW YORK,345,44.9%,44.9%,190,190,35.7%,35.7%,123,123,32,32,3.2%,26.0%,64.9%,4.7%,0.6%,0.6%
PS 146 EDWARD COLLINS,NYC DOE,BRONX,344,15.4%,94.2%,291,20,0.0%,78.8%,0,271,53,53,8.4%,29.3%,58.8%,0.3%,0.9%,2.4%
PS 146 HOWARD BEACH,NYC DOE,QUEENS,545,100.0%,80.4%,0,107,80.4%,46.6%,438,254,107,184,48.3%,2.2%,38.8%,8.6%,1.6%,0.5%
PS 147 ISSAC REMSEN,NYC DOE,KINGS,306,93.8%,87.9%,19,37,52.0%,52.0%,159,159,128,110,14.7%,13.5%,48.7%,9.6%,0.0%,13.5%
PS 148,NYC DOE,QUEENS,728,90.4%,91.5%,70,62,44.6%,38.9%,325,283,333,383,3.3%,0.8%,78.3%,17.0%,0.1%,0.4%
PS 149 CHRISTA MCAULIFFE,NYC DOE,QUEENS,857,83.8%,83.8%,139,139,0.0%,58.1%,0,498,718,220,2.2%,1.3%,86.3%,9.1%,0.9%,0.2%
PS 149 DANNY KAYE,NYC DOE,KINGS,495,88.7%,96.2%,56,19,69.7%,95.2%,345,471,94,5,2.6%,55.9%,37.8%,3.0%,0.4%,0.2%
PS 149 SOJOURNER TRUTH,NYC DOE,NEW YORK,203,98.5%,97.5%,3,5,98.5%,97.5%,200,198,0,0,2.5%,55.3%,32.7%,6.5%,2.0%,1.0%
PS 15 INST FOR ENVIRON LRNG,NYC DOE,BRONX,463,80.3%,98.9%,91,5,24.0%,81.4%,111,377,261,81,0.0%,10.6%,85.9%,1.7%,1.1%,0.6%
PS 15 JACKIE ROBINSON,NYC DOE,QUEENS,358,100.0%,67.0%,0,118,0.0%,43.0%,0,154,358,86,0.0%,82.3%,11.3%,3.9%,1.4%,1.1%
PS 15 PATRICK F DALY,NYC DOE,KINGS,423,0.0%,53.2%,423,198,0.0%,53.2%,0,225,0,0,17.6%,30.3%,45.5%,2.6%,0.0%,4.0%
PS 15 ROBERTO CLEMENTE,NYC DOE,NEW YORK,194,90.7%,89.2%,18,21,57.2%,80.4%,111,156,65,17,5.7%,26.8%,51.5%,14.4%,1.0%,0.5%
PS 150,NYC DOE,NEW YORK,183,100.0%,44.3%,0,102,0.5%,16.4%,1,30,182,51,48.9%,0.0%,11.0%,26.4%,0.5%,13.2%
PS 150,NYC DOE,QUEENS,919,96.5%,94.9%,32,47,0.0%,17.8%,0,164,887,708,23.8%,0.8%,42.4%,27.5%,0.9%,4.7%
PS 150 CHARLES JAMES FOX,NYC DOE,BRONX,616,95.1%,87.3%,30,78,0.0%,72.2%,0,445,586,93,3.6%,21.1%,73.4%,0.8%,0.3%,0.8%
PS 150 CHRISTOPHER,NYC DOE,KINGS,162,96.9%,100.0%,5,0,0.0%,100.0%,0,162,157,0,1.2%,58.2%,36.4%,2.4%,0.6%,1.2%
PS 151 LYNDON B JOHNSON,NYC DOE,KINGS,306,99.7%,100.0%,1,0,87.6%,100.0%,268,306,37,0,2.0%,10.5%,85.0%,1.6%,0.7%,0.3%
PS 151 MARY D CARTER,NYC DOE,QUEENS,294,100.0%,99.0%,0,3,0.0%,99.0%,0,291,294,0,3.4%,26.2%,51.4%,16.0%,2.0%,1.0%
PS 152 DYCKMAN VALLEY,NYC DOE,NEW YORK,496,92.7%,100.0%,36,0,73.0%,73.0%,362,362,98,134,0.6%,3.9%,88.7%,1.0%,0.0%,5.8%
PS 152 EVERGREEN,NYC DOE,BRONX,716,76.8%,76.8%,166,166,76.8%,76.8%,550,550,0,0,1.3%,13.6%,81.8%,1.7%,1.4%,0.1%
PS 152 GWENDOLINE N ALLEYNE,NYC DOE,QUEENS,827,88.6%,78.7%,94,176,35.8%,68.1%,296,563,437,88,3.7%,0.5%,40.5%,54.7%,0.2%,0.4%
PS 153 ADAM CLAYTON POWELL,NYC DOE,NEW YORK,439,97.0%,97.0%,13,13,82.0%,82.0%,360,360,66,66,4.7%,14.0%,78.5%,1.6%,0.2%,0.9%
PS 153 HELEN KELLER,NYC DOE,BRONX,540,99.3%,84.1%,4,86,46.1%,46.1%,249,249,287,205,1.9%,57.6%,22.0%,16.3%,0.9%,1.3%
PS 153 HOMECREST,NYC DOE,KINGS,551,99.8%,100.0%,1,0,57.4%,68.8%,316,379,234,172,33.4%,1.4%,35.4%,23.7%,5.6%,0.5%
PS 153 MASPETH ELEMENTARY,NYC DOE,QUEENS,943,89.6%,96.3%,98,35,29.6%,29.1%,279,274,566,634,41.9%,1.2%,41.5%,13.6%,0.6%,1.2%
PS 154,NYC DOE,QUEENS,600,73.3%,85.0%,160,90,33.7%,46.3%,202,278,238,232,15.0%,8.6%,26.2%,47.5%,1.0%,1.7%
PS 154 HARRIET TUBMAN,NYC DOE,NEW YORK,221,100.0%,100.0%,0,0,100.0%,100.0%,221,221,0,0,5.1%,61.1%,26.9%,4.6%,1.4%,0.9%
PS 154 JONATHAN D HYATT,NYC DOE,BRONX,312,93.3%,97.8%,21,7,11.2%,89.7%,35,280,256,25,1.3%,41.1%,56.3%,0.3%,0.7%,0.3%
PS 155,NYC DOE,QUEENS,533,96.6%,95.3%,18,25,11.8%,48.6%,63,259,452,249,1.9%,19.4%,20.9%,34.9%,21.3%,1.6%
PS 155 WILLIAM PACA,NYC DOE,NEW YORK,219,92.7%,98.2%,16,4,46.1%,93.2%,101,204,102,11,1.8%,13.4%,78.3%,3.2%,3.2%,0.0%
PS 156 LAURELTON,NYC DOE,QUEENS,154,98.1%,97.4%,3,4,0.6%,39.0%,1,60,150,90,1.3%,84.0%,9.0%,1.3%,2.6%,1.9%
PS 156 WAVERLY,NYC DOE,KINGS,518,95.9%,82.8%,21,89,1.7%,70.8%,9,367,488,62,0.6%,77.6%,18.6%,1.2%,1.2%,1.0%
PS 157 GROVE HILL,NYC DOE,BRONX,534,85.6%,66.9%,77,177,62.2%,66.9%,332,357,125,0,0.2%,24.7%,65.2%,0.4%,9.5%,0.0%
PS 158 BAYARD TAYLOR,NYC DOE,NEW YORK,667,98.8%,9.9%,8,601,98.8%,9.9%,659,66,0,0,69.1%,2.2%,8.3%,13.2%,0.4%,6.7%
PS 158 WARWICK,NYC DOE,KINGS,480,72.1%,72.1%,134,134,72.1%,72.1%,346,346,0,0,0.8%,48.6%,45.5%,3.3%,1.8%,0.0%
PS 159,NYC DOE,QUEENS,642,100.0%,94.9%,0,33,1.2%,28.0%,8,180,634,429,20.2%,0.2%,14.5%,63.5%,0.5%,1.1%
PS 159 ISAAC PITKIN,NYC DOE,KINGS,698,95.4%,84.5%,32,108,13.3%,54.7%,93,382,573,208,1.0%,22.4%,25.1%,48.5%,2.4%,0.6%
PS 159 LUIS MUNOZ MARIN BILING,NYC DOE,BRONX,155,92.3%,93.5%,12,10,47.7%,93.5%,74,145,69,0,1.3%,10.6%,86.1%,0.0%,1.3%,0.7%
PS 16 JOHN J DRISCOLL,NYC DOE,RICHMOND,417,58.8%,99.8%,172,1,58.8%,58.8%,245,245,0,171,5.0%,27.7%,57.8%,6.6%,1.9%,0.9%
PS 16 LEONARD DUNKLY,NYC DOE,KINGS,179,92.7%,65.9%,13,61,70.4%,65.9%,126,118,40,0,1.7%,33.0%,62.0%,1.1%,1.7%,0.6%
PS 16 NANCY DEBENEDITTIS SCHOOL (THE,NYC DOE,QUEENS,1300,73.8%,99.8%,340,3,34.0%,99.8%,442,1297,518,0,1.3%,0.1%,92.4%,5.9%,0.2%,0.1%
PS 16 WAKEFIELD,NYC DOE,BRONX,293,99.3%,100.0%,2,0,62.1%,53.2%,182,156,109,137,2.4%,40.4%,42.8%,5.5%,7.9%,1.0%
PS 160 WALT DISNEY,NYC DOE,BRONX,354,91.2%,97.7%,31,8,66.4%,97.7%,235,346,88,0,1.7%,62.5%,31.1%,2.0%,0.3%,2.3%
PS 160 WALTER FRANCIS BISHOP,NYC DOE,QUEENS,640,77.8%,77.8%,142,142,63.3%,77.8%,405,498,93,0,1.3%,39.2%,26.3%,16.9%,13.7%,2.6%
PS 160 WILLIAM T SAMPSON,NYC DOE,KINGS,1143,97.6%,86.8%,27,151,48.4%,42.3%,553,484,563,508,3.9%,0.1%,7.0%,88.6%,0.3%,0.2%
PS 161 ARTHUR ASHE SCHOOL,NYC DOE,QUEENS,588,92.2%,82.5%,46,103,18.7%,48.0%,110,282,432,203,2.6%,4.6%,12.2%,70.4%,8.9%,1.4%
PS 161 CROWN (THE),NYC DOE,KINGS,332,91.6%,91.3%,28,29,48.8%,48.8%,162,162,142,141,2.8%,70.4%,16.4%,8.3%,1.2%,0.9%
PS 161 JUAN PONCE DE LEON SCHOOL,NYC DOE,BRONX,377,0.0%,83.6%,377,62,0.0%,79.0%,0,298,0,17,0.5%,19.9%,77.5%,0.5%,0.5%,1.0%
PS 161 PEDRO ALBIZU CAMPOS,NYC DOE,NEW YORK,687,95.3%,93.9%,32,42,0.0%,93.9%,0,645,655,0,1.9%,20.1%,75.8%,1.5%,0.4%,0.3%
PS 162 JOHN GOLDEN,NYC DOE,QUEENS,574,99.5%,85.2%,3,85,5.1%,27.2%,29,156,542,333,12.1%,1.4%,10.7%,73.7%,0.5%,1.6%
PS 163 ALFRED E SMITH,NYC DOE,NEW YORK,488,97.7%,97.7%,11,11,26.2%,26.2%,128,128,349,349,24.6%,15.6%,45.5%,8.8%,0.2%,5.3%
PS 163 ARTHUR A SCHOMBERG,NYC DOE,BRONX,369,100.0%,90.0%,0,37,81.3%,90.0%,300,332,69,0,1.6%,36.7%,60.5%,0.3%,0.5%,0.3%
PS 163 BATH BEACH,NYC DOE,KINGS,617,79.4%,83.3%,127,103,0.0%,20.6%,0,127,490,387,31.0%,1.8%,34.4%,32.7%,0.0%,0.2%
PS 163 FLUSHING HEIGHTS,NYC DOE,QUEENS,809,82.9%,20.5%,138,643,82.9%,20.5%,671,166,0,0,1.5%,1.0%,12.9%,82.6%,0.2%,1.7%
PS 164 CAESAR RODNEY,NYC DOE,KINGS,624,95.2%,94.2%,30,36,49.7%,61.4%,310,383,284,205,12.1%,0.5%,41.6%,44.8%,0.6%,0.3%
PS 164 QUEENS VALLEY,NYC DOE,QUEENS,611,81.7%,81.7%,112,112,30.0%,30.0%,183,183,316,316,35.2%,4.4%,26.1%,33.1%,0.5%,0.8%
PS 165 EDITH K BERGTRAUM,NYC DOE,QUEENS,706,95.2%,44.2%,34,394,22.4%,44.2%,158,312,514,0,10.8%,11.6%,22.4%,52.2%,1.1%,1.8%
PS 165 IDA POSNER,NYC DOE,KINGS,235,85.5%,86.4%,34,32,64.3%,84.7%,151,199,50,4,4.1%,83.0%,11.6%,0.0%,0.4%,0.8%
PS 165 ROBERT E SIMON,NYC DOE,NEW YORK,384,84.9%,84.9%,58,58,45.3%,45.3%,174,174,152,152,25.6%,15.6%,49.6%,7.7%,0.0%,1.5%
PS 166 HENRY GRADSTEIN,NYC DOE,QUEENS,895,98.3%,85.8%,15,127,0.0%,28.2%,0,252,880,516,27.3%,3.7%,40.6%,23.4%,1.2%,3.8%
PS 166 RICHARD ROGERS SC-ARTS & SCI,NYC DOE,NEW YORK,604,97.2%,99.8%,17,1,0.2%,7.8%,1,47,586,556,53.4%,5.1%,14.8%,15.7%,0.3%,10.7%
PS 168,NYC DOE,BRONX,518,86.9%,86.9%,68,68,52.7%,52.7%,273,273,177,177,3.5%,34.2%,56.7%,3.7%,1.2%,0.8%
PS 169 BAY TERRACE,NYC DOE,QUEENS,364,98.6%,99.5%,5,2,1.1%,62.9%,4,229,355,133,26.6%,5.2%,24.5%,40.5%,0.3%,3.0%
PS 169 ROBERT F KENNEDY,NYC DOE,NEW YORK,356,86.5%,47.2%,48,188,86.5%,7.0%,308,25,0,143,3.9%,47.2%,46.7%,1.4%,0.6%,0.3%
PS 169 SUNSET PARK,NYC DOE,KINGS,1213,99.0%,98.9%,12,13,69.0%,81.0%,837,982,364,218,3.3%,0.2%,30.4%,65.2%,0.5%,0.3%
PS 17,NYC DOE,BRONX,537,90.5%,86.4%,51,73,71.1%,71.1%,382,382,104,82,3.3%,35.5%,56.1%,4.1%,1.0%,0.0%
PS 17 HENRY D WOODWORTH,NYC DOE,KINGS,271,100.0%,96.3%,0,10,57.6%,24.4%,156,66,115,195,14.4%,8.1%,76.7%,0.0%,0.0%,0.7%
PS 17 HENRY DAVID THOREAU,NYC DOE,QUEENS,574,19.7%,75.4%,461,141,0.0%,38.2%,0,219,113,214,23.6%,8.6%,50.7%,13.6%,1.4%,2.1%
PS 170,NYC DOE,BRONX,221,100.0%,100.0%,0,0,81.0%,81.4%,179,180,42,41,0.9%,18.5%,79.7%,0.5%,0.5%,0.0%
PS 171 PATRICK HENRY,NYC DOE,NEW YORK,770,96.0%,95.5%,31,35,93.2%,93.1%,718,717,21,18,4.0%,24.5%,58.3%,10.6%,1.3%,1.3%
PS 171 PETER G VAN ALST,NYC DOE,QUEENS,397,80.9%,80.9%,76,76,42.6%,42.6%,169,169,152,152,7.8%,25.4%,48.6%,16.1%,1.0%,1.0%
PS 172 BEACON SCHOOL OF EXCELLENCE,NYC DOE,KINGS,565,79.3%,100.0%,117,0,62.5%,76.1%,353,430,95,135,15.2%,3.7%,69.6%,9.5%,0.7%,1.2%
PS 173,NYC DOE,NEW YORK,445,58.4%,64.5%,185,158,48.8%,64.5%,217,287,43,0,3.7%,2.5%,89.7%,3.0%,0.2%,0.9%
PS 173 FRESH MEADOWS,NYC DOE,QUEENS,885,97.1%,90.2%,26,87,5.1%,24.2%,45,214,814,584,23.1%,1.4%,13.0%,60.3%,0.6%,1.7%
PS 174 WILLIAM SIDNEY MOUNT,NYC DOE,QUEENS,600,100.0%,84.7%,0,92,0.0%,0.0%,0,0,600,508,26.6%,2.8%,23.6%,40.5%,0.7%,5.7%
PS 175 CITY ISLAND,NYC DOE,BRONX,287,100.0%,100.0%,0,0,53.3%,53.3%,153,153,134,134,37.5%,9.7%,45.1%,3.8%,0.3%,3.5%
PS 175 HENRY H GARNET,NYC DOE,NEW YORK,321,100.0%,98.8%,0,4,100.0%,98.8%,321,317,0,0,2.9%,51.4%,38.9%,5.1%,1.0%,0.6%
PS 175 LYNN GROSS DISCOVERY (THE),NYC DOE,QUEENS,767,100.0%,90.7%,0,71,56.5%,36.6%,433,281,334,415,54.2%,1.2%,14.7%,26.5%,0.1%,3.4%
PS 176,NYC DOE,BRONX,553,61.7%,62.9%,212,205,16.6%,54.1%,92,299,249,49,5.4%,44.2%,46.5%,2.7%,1.1%,0.0%
PS 176 CAMBRIA HEIGHTS,NYC DOE,QUEENS,661,0.0%,0.0%,661,661,0.0%,0.0%,0,0,0,0,1.7%,75.5%,4.7%,3.8%,13.1%,1.4%
PS 176 OVINGTON,NYC DOE,KINGS,1148,99.8%,100.0%,2,0,2.4%,43.6%,28,501,1118,647,12.5%,0.8%,19.7%,66.1%,0.5%,0.3%
PS 177,NYC DOE,QUEENS,492,100.0%,93.5%,0,32,100.0%,56.9%,492,280,0,180,20.9%,31.7%,22.4%,22.7%,1.5%,0.7%
PS 177 MARLBORO (THE),NYC DOE,KINGS,933,100.0%,99.9%,0,1,26.5%,59.2%,247,552,686,380,35.7%,0.9%,29.6%,32.6%,0.7%,0.5%
PS 178 DR SELMAN WAKSMAN,NYC DOE,BRONX,349,86.5%,95.7%,47,15,0.0%,95.7%,0,334,302,0,1.4%,62.0%,32.9%,1.7%,0.6%,1.4%
PS 178 SAINT CLAIR MCKELWAY,NYC DOE,KINGS,281,86.8%,95.0%,37,14,0.0%,95.0%,0,267,244,0,4.9%,68.7%,21.6%,1.1%,2.2%,1.5%
PS 179,NYC DOE,BRONX,284,75.4%,81.0%,70,54,74.3%,78.2%,211,222,3,8,1.1%,22.3%,74.8%,1.1%,0.0%,0.7%
PS 179 KENSINGTON,NYC DOE,KINGS,777,48.6%,0.0%,399,777,0.0%,0.0%,0,0,378,0,14.0%,3.5%,22.2%,58.9%,1.0%,0.4%
PS 18 EDWARD BUSH,NYC DOE,KINGS,192,100.0%,97.9%,0,4,58.9%,58.3%,113,112,79,76,8.1%,21.5%,70.4%,0.0%,0.0%,0.0%
PS 18 JOHN G WHITTIER,NYC DOE,RICHMOND,433,92.6%,90.3%,32,42,20.3%,62.4%,88,270,313,121,5.9%,39.8%,48.7%,2.6%,1.2%,1.9%
PS 18 JOHN PETER ZENGER,NYC DOE,BRONX,444,92.3%,84.7%,34,68,84.7%,84.7%,376,376,34,0,5.2%,27.7%,65.8%,0.7%,0.5%,0.2%
