District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
EASTCHESTER,WESTCHESTER,3196,100.0%,100.0%,0,0,0.0%,29.2%,0,933,3196,2263,67.5%,1.9%,12.9%,13.9%,0.2%,3.6%
ROSLYN,NASSAU,3195,100.0%,100.0%,0,0,0.2%,100.0%,6,3195,3189,0,65.9%,3.2%,8.7%,20.3%,0.1%,1.7%
BROCKPORT,MONROE,3188,99.7%,100.0%,11,0,0.7%,96.3%,24,3071,3169,117,78.3%,4.1%,10.4%,1.2%,0.2%,5.9%
JERICHO,NASSAU,3151,99.9%,100.0%,2,0,0.6%,100.0%,20,3151,3129,0,27.0%,2.3%,3.6%,65.5%,0.2%,1.4%
MOUNT MARKHAM,HERKIMER,3117,87.5%,93.0%,130,219,1.9%,62.1%,20,1935,894,963,96.8%,0.5%,1.3%,0.4%,0.1%,1.0%
NORTH TONAWANDA,NIAGARA,3114,100.0%,100.0%,0,0,8.5%,98.1%,266,3055,2848,59,88.2%,2.0%,4.8%,1.0%,0.7%,3.4%
GLEN COVE,NASSAU,3084,98.8%,100.0%,37,0,6.5%,91.1%,202,3073,2884,301,23.5%,7.3%,63.9%,3.2%,0.0%,2.0%
QUEENSBURY,WARREN,3066,99.9%,NA,2,0,0.3%,NA,10,0,3054,0,92.4%,1.3%,2.8%,1.4%,0.0%,2.1%
ESTPRT-S MANOR CSD,SUFFOLK,3065,100.0%,100.0%,0,0,0.7%,52.7%,22,1616,3043,1449,85.3%,1.6%,10.0%,1.4%,0.0%,1.6%
RYE,WESTCHESTER,3061,99.9%,99.4%,2,20,0.1%,53.1%,3,1666,3058,1449,78.4%,1.0%,8.1%,8.5%,0.2%,3.9%
WHITESBORO,ONEIDA,3051,100.0%,100.0%,0,0,4.2%,100.0%,128,3051,2923,0,89.5%,1.5%,4.2%,1.3%,0.1%,3.5%
BURNT HILLS,SARATOGA,3031,100.0%,96.4%,0,109,0.6%,96.4%,18,2922,3013,0,91.7%,1.2%,3.0%,1.4%,0.0%,2.7%
MANHASSET,NASSAU,3027,100.0%,95.6%,0,134,0.4%,83.0%,11,2512,3016,381,61.8%,2.7%,7.7%,25.1%,0.0%,2.7%
